DATE,CLOSING_INDEX
2021-03-01,15947.744999999999
2021-03-02,15946.88
2021-03-03,16211.73
2021-03-04,15906.41
2021-03-05,15855.23
2021-03-06,15837.67
2021-03-07,15828.89
2021-03-08,15820.11
2021-03-09,15853.09
2021-03-10,15911.67
2021-03-11,16179.56
2021-03-12,16255.18
2021-03-13,16252.255000000001
2021-03-14,16250.7925
2021-03-15,16249.33
2021-03-16,16313.16
2021-03-17,16215.82
2021-03-18,16287.84
2021-03-19,16070.24
2021-03-20,16129.73
2021-03-21,16159.474999999999
2021-03-22,16189.22
2021-03-23,16177.59
2021-03-24,16032.12
2021-03-25,16060.14
2021-03-26,16305.88
2021-03-27,16390.925
2021-03-28,16433.447500000002
2021-03-29,16475.97
2021-03-30,16554.9
2021-03-31,16431.13
2021-04-01,16571.28
2021-04-02,16655.574999999997
2021-04-03,16697.722499999996
2021-04-04,16718.79625
2021-04-05,16729.333124999997
2021-04-06,16739.87
2021-04-07,16815.36
2021-04-08,16926.44
2021-04-09,16854.1
2021-04-10,16856.9
2021-04-11,16858.300000000003
2021-04-12,16859.7
2021-04-13,16824.91
2021-04-14,16865.97
2021-04-15,17076.73
2021-04-16,17158.81
2021-04-17,17211.045
2021-04-18,17237.1625
2021-04-19,17263.28
2021-04-20,17323.87
2021-04-21,17202.11
2021-04-22,17096.97
2021-04-23,17300.27
2021-04-24,17436.28
2021-04-25,17504.285
2021-04-26,17572.29
2021-04-27,17595.9
2021-04-28,17567.53
2021-04-29,17566.66
2021-04-30,17394.504999999997
2021-05-01,17308.427499999998
2021-05-02,17265.38875
2021-05-03,17222.35
2021-05-04,16933.78
2021-05-05,16843.44
2021-05-06,16994.36
2021-05-07,17285.0
2021-05-08,17260.305
2021-05-09,17247.9575
2021-05-10,17235.61
2021-05-11,16583.13
2021-05-12,15902.37
2021-05-13,15670.1
2021-05-14,15827.09
2021-05-15,15590.49
2021-05-16,15472.189999999999
2021-05-17,15353.89
2021-05-18,16145.98
2021-05-19,16132.66
2021-05-20,16042.36
2021-05-21,16302.06
2021-05-22,16320.175
2021-05-23,16329.2325
2021-05-24,16338.29
2021-05-25,16595.67
2021-05-26,16643.69
2021-05-27,16601.61
2021-05-28,16870.86
2021-05-29,16969.645
2021-05-30,17019.0375
2021-05-31,17068.43
2021-06-01,17162.38
2021-06-02,17165.04
2021-06-03,17246.16
2021-06-04,17147.41
2021-06-05,17115.66
2021-06-06,17099.785
2021-06-07,17083.91
2021-06-08,17076.21
2021-06-09,16966.22
2021-06-10,17159.22
2021-06-11,17213.52
2021-06-12,17292.405
2021-06-13,17331.8475
2021-06-14,17351.56875
2021-06-15,17371.29
2021-06-16,17307.86
2021-06-17,17390.61
2021-06-18,17318.54
2021-06-19,17190.760000000002
2021-06-20,17126.870000000003
2021-06-21,17062.98
2021-06-22,17075.55
2021-06-23,17336.71
2021-06-24,17407.96
2021-06-25,17502.99
2021-06-26,17546.980000000003
2021-06-27,17568.975000000002
2021-06-28,17590.97
2021-06-29,17598.19
2021-06-30,17755.46
2021-07-01,17713.94
2021-07-02,17710.15
2021-07-03,17814.74
2021-07-04,17867.035000000003
2021-07-05,17919.33
2021-07-06,17913.07
2021-07-07,17850.69
2021-07-08,17866.09
2021-07-09,17661.48
2021-07-10,17737.905
2021-07-11,17776.1175
2021-07-12,17814.33
2021-07-13,17847.52
2021-07-14,17845.75
2021-07-15,18034.19
2021-07-16,17895.25
2021-07-17,17842.25
2021-07-18,17815.75
2021-07-19,17789.25
2021-07-20,17528.74
2021-07-21,17458.79
2021-07-22,17572.33
2021-07-23,17572.92
2021-07-24,17488.239999999998
2021-07-25,17445.9
2021-07-26,17403.56
2021-07-27,17269.87
2021-07-28,17135.22
2021-07-29,17402.81
2021-07-30,17247.41
2021-07-31,17375.345
2021-08-01,17439.3125
2021-08-02,17503.28
2021-08-03,17553.76
2021-08-04,17623.89
2021-08-05,17603.12
2021-08-06,17526.28
2021-08-07,17505.715
2021-08-08,17495.432500000003
2021-08-09,17485.15
2021-08-10,17323.64
2021-08-11,17227.18
2021-08-12,17219.94
2021-08-13,16982.11
2021-08-14,16920.440000000002
2021-08-15,16889.605000000003
2021-08-16,16858.77
2021-08-17,16661.36
2021-08-18,16826.27
2021-08-19,16375.4
2021-08-20,16341.94
2021-08-21,16541.89
2021-08-22,16641.864999999998
2021-08-23,16741.84
2021-08-24,16818.73
2021-08-25,17045.86
2021-08-26,17066.96
2021-08-27,17209.93
2021-08-28,17303.225
2021-08-29,17349.872499999998
2021-08-30,17396.52
2021-08-31,17490.29
2021-09-01,17473.99
2021-09-02,17319.76
2021-09-03,17516.92
2021-09-04,17506.11
2021-09-05,17500.705
2021-09-06,17495.3
2021-09-07,17428.87
2021-09-08,17270.49
2021-09-09,17304.33
2021-09-10,17474.57
2021-09-11,17460.440000000002
2021-09-12,17453.375
2021-09-13,17446.31
2021-09-14,17434.9
2021-09-15,17354.0
2021-09-16,17278.7
2021-09-17,17276.79
2021-09-18,17101.305
2021-09-19,17013.5625
2021-09-20,16969.69125
2021-09-21,16947.755624999998
2021-09-22,16925.82
2021-09-23,17078.22
2021-09-24,17260.19
2021-09-25,17286.98
2021-09-26,17300.375
2021-09-27,17313.77
2021-09-28,17181.44
2021-09-29,16855.46
2021-09-30,16934.77
2021-10-01,16570.89
2021-10-02,16489.62
2021-10-03,16448.985
2021-10-04,16408.35
2021-10-05,16460.75
2021-10-06,16393.16
2021-10-07,16713.86
2021-10-08,16640.43
2021-10-09,16551.635000000002
2021-10-10,16507.237500000003
2021-10-11,16485.03875
2021-10-12,16462.84
2021-10-13,16347.99
2021-10-14,16387.28
2021-10-15,16781.19
2021-10-16,16743.324999999997
2021-10-17,16724.392499999998
2021-10-18,16705.46
2021-10-19,16900.67
2021-10-20,16887.82
2021-10-21,16889.51
2021-10-22,16888.74
2021-10-23,16891.49
2021-10-24,16892.865
2021-10-25,16894.24
2021-10-26,17034.34
2021-10-27,17074.55
2021-10-28,17041.63
2021-10-29,16987.41
2021-10-30,17027.825
2021-10-31,17048.0325
2021-11-01,17068.24
2021-11-02,17065.97
2021-11-03,17122.16
2021-11-04,17078.86
2021-11-05,17296.9
2021-11-06,17356.1
2021-11-07,17385.699999999997
2021-11-08,17415.3
2021-11-09,17541.36
2021-11-10,17559.65
2021-11-11,17452.52
2021-11-12,17518.13
2021-11-13,17576.300000000003
2021-11-14,17605.385000000002
2021-11-15,17634.47
2021-11-16,17693.13
2021-11-17,17764.04
2021-11-18,17841.37
2021-11-19,17818.31
2021-11-20,17810.925000000003
2021-11-21,17807.232500000002
2021-11-22,17803.54
2021-11-23,17666.12
2021-11-24,17642.52
2021-11-25,17654.19
2021-11-26,17369.39
2021-11-27,17348.739999999998
2021-11-28,17338.415
2021-11-29,17328.09
2021-11-30,17427.76
2021-12-01,17585.99
2021-12-02,17724.88
2021-12-03,17697.14
2021-12-04,17692.675
2021-12-05,17690.442499999997
2021-12-06,17688.21
2021-12-07,17796.92
2021-12-08,17832.42
2021-12-09,17914.12
2021-12-10,17826.26
2021-12-11,17796.93
2021-12-12,17782.265
2021-12-13,17767.6
2021-12-14,17599.37
2021-12-15,17660.1
2021-12-16,17785.74
2021-12-17,17812.59
2021-12-18,17740.85
2021-12-19,17704.98
2021-12-20,17669.11
2021-12-21,17789.27
2021-12-22,17826.83
2021-12-23,17946.66
2021-12-24,17961.64
2021-12-25,18005.29
2021-12-26,18027.114999999998
2021-12-27,18048.94
2021-12-28,18196.81
2021-12-29,18248.28
2021-12-30,18218.84
2021-12-31,18244.675
2022-01-01,18257.5925
2022-01-02,18264.051249999997
2022-01-03,18270.51
2022-01-04,18526.35
2022-01-05,18499.96
2022-01-06,18367.92
2022-01-07,18169.76
2022-01-08,18204.57
2022-01-09,18221.975
2022-01-10,18239.38
2022-01-11,18288.21
2022-01-12,18375.4
2022-01-13,18436.93
2022-01-14,18403.33
2022-01-15,18464.385000000002
2022-01-16,18494.9125
2022-01-17,18525.44
2022-01-18,18378.64
2022-01-19,18227.46
2022-01-20,18218.28
2022-01-21,17899.3
2022-01-22,17944.17
2022-01-23,17966.605
2022-01-24,17989.04
2022-01-25,17701.12
2022-01-26,17674.4
2022-01-27,17787.35
2022-01-28,17843.824999999997
2022-01-29,17872.0625
2022-01-30,17886.18125
2022-01-31,17893.240625
2022-02-01,17896.770312499997
2022-02-02,17898.53515625
2022-02-03,17899.417578125
2022-02-04,17899.8587890625
2022-02-05,17900.079394531247
2022-02-06,17900.189697265625
2022-02-07,17900.3
2022-02-08,17966.56
2022-02-09,18151.76
2022-02-10,18338.05
2022-02-11,18310.94
2022-02-12,18154.305
2022-02-13,18075.9875
2022-02-14,17997.67
2022-02-15,17951.81
2022-02-16,18231.47
2022-02-17,18268.57
2022-02-18,18232.35
2022-02-19,18226.92
2022-02-20,18224.205
2022-02-21,18221.49
2022-02-22,17969.29
2022-02-23,18055.73
2022-02-24,17594.55
2022-02-25,17652.18
2022-02-26,17775.215
2022-02-27,17836.7325
2022-02-28,17867.49125
2022-03-01,17898.25
2022-03-02,17867.6
2022-03-03,17934.4
2022-03-04,17736.52
2022-03-05,17457.605
2022-03-06,17318.1475
2022-03-07,17178.69
2022-03-08,16825.25
2022-03-09,17015.36
2022-03-10,17433.2
2022-03-11,17264.74
2022-03-12,17263.89
2022-03-13,17263.465
2022-03-14,17263.04
2022-03-15,16926.06
2022-03-16,16940.83
2022-03-17,17448.22
2022-03-18,17456.52
2022-03-19,17508.440000000002
2022-03-20,17534.4
2022-03-21,17560.36
2022-03-22,17559.71
2022-03-23,17731.37
2022-03-24,17699.06
2022-03-25,17676.95
2022-03-26,17598.48
2022-03-27,17559.245
2022-03-28,17520.01
2022-03-29,17548.66
2022-03-30,17740.56
2022-03-31,17693.47
2022-04-01,17625.59
2022-04-02,17574.045
2022-04-03,17548.2725
2022-04-04,17535.38625
2022-04-05,17528.943124999998
2022-04-06,17522.5
2022-04-07,17178.63
2022-04-08,17284.54
2022-04-09,17166.455
2022-04-10,17107.4125
2022-04-11,17048.37
2022-04-12,16990.91
2022-04-13,17301.65
2022-04-14,17245.65
2022-04-15,17004.18
2022-04-16,16951.525
2022-04-17,16925.197500000002
2022-04-18,16898.87
2022-04-19,16993.4
2022-04-20,17148.88
2022-04-21,17127.95
2022-04-22,17025.09
2022-04-23,16822.995000000003
2022-04-24,16721.947500000002
2022-04-25,16620.9
2022-04-26,16644.79
2022-04-27,16303.35
2022-04-28,16419.38
2022-04-29,16592.18
